<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.06.12	10:00:00	0.26	0.26	0.26	0.26	1	800	1
2018.06.12	15:00:00	0.18	0.18	0.18	0.18	2	2000	1
2018.06.12	16:00:00	0.16	0.16	0.16	0.16	1	1000	1
2018.06.13	11:00:00	0.14	0.14	0.14	0.14	4	4000	1
2018.06.13	14:00:00	0.15	0.15	0.15	0.15	1	4000	1
2018.06.13	16:00:00	0.16	0.20	0.16	0.20	2	2400	1
2018.06.14	10:00:00	0.24	0.24	0.21	0.21	2	6000	1
2018.06.14	13:00:00	0.18	0.18	0.18	0.18	2	5200	1
2018.06.14	15:00:00	0.14	0.18	0.14	0.14	5	2400	1
2018.06.14	16:00:00	0.19	0.19	0.15	0.15	3	2100	1
2018.06.15	10:00:00	0.15	0.15	0.15	0.15	1	2500	1
2018.06.15	11:00:00	0.16	0.16	0.15	0.15	2	2100	1
2018.06.15	12:00:00	0.15	0.15	0.15	0.15	4	29600	1
2018.06.15	13:00:00	0.14	0.15	0.14	0.15	3	10000	1
2018.06.15	15:00:00	0.15	0.15	0.15	0.15	1	10000	1
2018.06.15	16:00:00	0.15	0.16	0.15	0.16	2	2500	1
2018.06.18	10:00:00	0.19	0.19	0.19	0.19	1	500	1
2018.06.18	11:00:00	0.19	0.19	0.19	0.19	1	10000	1
2018.06.18	12:00:00	0.19	0.19	0.18	0.19	17	222000	1
2018.06.18	13:00:00	0.19	0.19	0.17	0.17	12	80000	1
2018.06.18	14:00:00	0.18	0.18	0.18	0.18	5	31900	1
2018.06.18	15:00:00	0.17	0.17	0.17	0.17	4	28000	1
2018.06.18	16:00:00	0.16	0.16	0.15	0.15	3	2200	1
2018.06.19	12:00:00	0.15	0.16	0.15	0.16	5	15400	1
2018.06.19	13:00:00	0.16	0.17	0.16	0.17	6	15500	1
2018.06.19	14:00:00	0.18	0.20	0.18	0.20	3	10200	1
2018.06.19	15:00:00	0.20	0.25	0.20	0.25	5	6000	1
2018.06.20	10:00:00	0.50	0.50	0.24	0.24	4	1600	1
2018.06.20	11:00:00	0.32	0.32	0.28	0.28	4	1500	1
2018.06.20	12:00:00	0.28	0.38	0.28	0.38	68	261300	1
